   ,WR#,DESCR,WRST_CD,VERS_ID_SEQ,VER_TYP,SCAN_DOC,URL_SCAN_CHAU_DOC
45,41F 30015696,PROVISIONAL PERMIT,ACTV,2,CHAU,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41F&WR_Number=30015696&Extension=&WR_Type=PROVISIONAL PERMIT,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41F&WR_Number=30105914&Extension=&WR_Type=CHANGE AUTHORIZATION
46,41F 30070321,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41F&WR_Number=30070321&Extension=&WR_Type=PROVISIONAL PERMIT,
47,41F 37203 00,PROVISIONAL PERMIT,ACTV,3,CHAU,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41F&WR_Number=37203&Extension= 00&WR_Type=PROVISIONAL PERMIT,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41F&WR_Number=30019240&Extension=&WR_Type=CHANGE AUTHORIZATION
48,41G 110412 00,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41G&WR_Number=110412&Extension= 00&WR_Type=PROVISIONAL PERMIT,
49,41G 30002141,PROVISIONAL PERMIT,ACTV,3,ERSV,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41G&WR_Number=30002141&Extension=&WR_Type=PROVISIONAL PERMIT,
50,41H 100681 00,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=100681&Extension= 00&WR_Type=PROVISIONAL PERMIT,
51,41H 100780 00,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=100780&Extension= 00&WR_Type=PROVISIONAL PERMIT,
52,41H 110168 00,PROVISIONAL PERMIT,ACTV,2,CHAU,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=110168&Extension= 00&WR_Type=PROVISIONAL PERMIT,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30024735&Extension=&WR_Type=CHANGE AUTHORIZATION
53,41H 30000483,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30000483&Extension=&WR_Type=PROVISIONAL PERMIT,
54,41H 30004798,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30004798&Extension=&WR_Type=PROVISIONAL PERMIT,
55,41H 30005212,PROVISIONAL PERMIT,ACTV,2,CHAU,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30005212&Extension=&WR_Type=PROVISIONAL PERMIT,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41F&WR_Number=30122400&Extension=&WR_Type=CHANGE AUTHORIZATION
56,41H 30006853,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30006853&Extension=&WR_Type=PROVISIONAL PERMIT,
57,41H 30009188,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30009188&Extension=&WR_Type=PROVISIONAL PERMIT,
58,41H 30009355,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30009355&Extension=&WR_Type=PROVISIONAL PERMIT,
59,41H 30010803,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30010803&Extension=&WR_Type=PROVISIONAL PERMIT,
60,41H 30012165,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30012165&Extension=&WR_Type=PROVISIONAL PERMIT,
61,41H 30012170,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30012170&Extension=&WR_Type=PROVISIONAL PERMIT,
62,41H 30016784,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30016784&Extension=&WR_Type=PROVISIONAL PERMIT,
63,41H 30021840,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30021840&Extension=&WR_Type=PROVISIONAL PERMIT,
64,41H 30022342,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30022342&Extension=&WR_Type=PROVISIONAL PERMIT,
65,41H 30025398,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=41H&WR_Number=30025398&Extension=&WR_Type=PROVISIONAL PERMIT,
