   ,WR#,DESCR,WRST_CD,VERS_ID_SEQ,VER_TYP,SCAN_DOC,URL_SCAN_CHAU_DOC
137,42M 30070505,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30070505&Extension=&WR_Type=PROVISIONAL PERMIT,
138,42M 30070792,PROVISIONAL PERMIT,RVKD,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30070792&Extension=&WR_Type=PROVISIONAL PERMIT,
139,42M 30072719,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30072719&Extension=&WR_Type=PROVISIONAL PERMIT,
140,42M 30103504,TEMPORARY PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30103504&Extension=&WR_Type=TEMPORARY PERMIT,
141,42M 30106840,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30106840&Extension=&WR_Type=PROVISIONAL PERMIT,
142,42M 30106841,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30106841&Extension=&WR_Type=PROVISIONAL PERMIT,
143,42M 30110211,PROVISIONAL PERMIT,ACTV,2,CHAU,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30110211&Extension=&WR_Type=PROVISIONAL PERMIT,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30150801&Extension=&WR_Type=CHANGE AUTHORIZATION
144,42M 30114906,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30114906&Extension=&WR_Type=PROVISIONAL PERMIT,
145,42M 30116709,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30116709&Extension=&WR_Type=PROVISIONAL PERMIT,
146,42M 30118249,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30118249&Extension=&WR_Type=PROVISIONAL PERMIT,
147,42M 30123375,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30123375&Extension=&WR_Type=PROVISIONAL PERMIT,
148,42M 30147170,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30147170&Extension=&WR_Type=PROVISIONAL PERMIT,
149,42M 30148789,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30148789&Extension=&WR_Type=PROVISIONAL PERMIT,
150,42M 30150753,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30150753&Extension=&WR_Type=PROVISIONAL PERMIT,
151,42M 30151756,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30151756&Extension=&WR_Type=PROVISIONAL PERMIT,
152,42M 30152566,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30152566&Extension=&WR_Type=PROVISIONAL PERMIT,
153,42M 30153996,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30153996&Extension=&WR_Type=PROVISIONAL PERMIT,
154,42M 30159885,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=42M&WR_Number=30159885&Extension=&WR_Type=PROVISIONAL PERMIT,
155,43A 30001809,GROUND WATER CERTIFICATE,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43A&WR_Number=30001809&Extension=&WR_Type=GROUND WATER CERTIFICATE,
156,43A 30154116,GROUND WATER CERTIFICATE,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43A&WR_Number=30154116&Extension=&WR_Type=GROUND WATER CERTIFICATE,
157,43B 30008547,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43B&WR_Number=30008547&Extension=&WR_Type=PROVISIONAL PERMIT,
158,43B 30021472,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43B&WR_Number=30021472&Extension=&WR_Type=PROVISIONAL PERMIT,
159,43B 30041732,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43B&WR_Number=30041732&Extension=&WR_Type=PROVISIONAL PERMIT,
160,43B 30066938,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43B&WR_Number=30066938&Extension=&WR_Type=PROVISIONAL PERMIT,
161,43B 30070969,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43B&WR_Number=30070969&Extension=&WR_Type=PROVISIONAL PERMIT,
162,43D 102189 00,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43D&WR_Number=102189&Extension= 00&WR_Type=PROVISIONAL PERMIT,
163,43D 30001172,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43D&WR_Number=30001172&Extension=&WR_Type=PROVISIONAL PERMIT,
164,43D 30048300,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43D&WR_Number=30048300&Extension=&WR_Type=PROVISIONAL PERMIT,
165,43D 30051172,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43D&WR_Number=30051172&Extension=&WR_Type=PROVISIONAL PERMIT,
166,43D 45736 00,STATEMENT OF CLAIM,ACTV,3,REXM,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43D&WR_Number=45736&Extension= 00&WR_Type=STATEMENT OF CLAIM,
167,43D 62455 00,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43D&WR_Number=62455&Extension= 00&WR_Type=PROVISIONAL PERMIT,
168,43N 11771 00,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43N&WR_Number=11771&Extension= 00&WR_Type=PROVISIONAL PERMIT,
169,43N 30104338,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43N&WR_Number=30104338&Extension=&WR_Type=PROVISIONAL PERMIT,
170,43Q 112059 00,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=112059&Extension= 00&WR_Type=PROVISIONAL PERMIT,
171,43Q 115422 00,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=115422&Extension= 00&WR_Type=PROVISIONAL PERMIT,
172,43Q 210564 00,STATEMENT OF CLAIM,ACTV,2,POST,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=210564&Extension= 00&WR_Type=STATEMENT OF CLAIM,
173,43Q 210565 00,STATEMENT OF CLAIM,ACTV,2,POST,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=210565&Extension= 00&WR_Type=STATEMENT OF CLAIM,
174,43Q 30029329,PROVISIONAL PERMIT,DENY,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30029329&Extension=&WR_Type=PROVISIONAL PERMIT,
175,43Q 30048536,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30048536&Extension=&WR_Type=PROVISIONAL PERMIT,
176,43Q 30066116,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30066116&Extension=&WR_Type=PROVISIONAL PERMIT,
177,43Q 30069789,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30069789&Extension=&WR_Type=PROVISIONAL PERMIT,
178,43Q 30102729,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30102729&Extension=&WR_Type=PROVISIONAL PERMIT,
179,43Q 30104752,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30104752&Extension=&WR_Type=PROVISIONAL PERMIT,
180,43Q 30106062,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30106062&Extension=&WR_Type=PROVISIONAL PERMIT,
181,43Q 30106065,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30106065&Extension=&WR_Type=PROVISIONAL PERMIT,
182,43Q 30106232,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30106232&Extension=&WR_Type=PROVISIONAL PERMIT,
183,43Q 30107217,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30107217&Extension=&WR_Type=PROVISIONAL PERMIT,
184,43Q 30110115,GROUND WATER CERTIFICATE,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30110115&Extension=&WR_Type=GROUND WATER CERTIFICATE,
185,43Q 30111263,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30111263&Extension=&WR_Type=PROVISIONAL PERMIT,
186,43Q 30115108,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30115108&Extension=&WR_Type=PROVISIONAL PERMIT,
187,43Q 30116187,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30116187&Extension=&WR_Type=PROVISIONAL PERMIT,
188,43Q 30121540,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30121540&Extension=&WR_Type=PROVISIONAL PERMIT,
189,43Q 30127618,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30127618&Extension=&WR_Type=PROVISIONAL PERMIT,
190,43Q 30147261,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30147261&Extension=&WR_Type=PROVISIONAL PERMIT,
191,43Q 30152518,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43Q&WR_Number=30152518&Extension=&WR_Type=PROVISIONAL PERMIT,
192,43QJ 30031066,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43QJ&WR_Number=30031066&Extension=&WR_Type=PROVISIONAL PERMIT,
193,43QJ 30103019,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=43QJ&WR_Number=30103019&Extension=&WR_Type=PROVISIONAL PERMIT,
194,76D 30013537,PROVISIONAL PERMIT,EXPR,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76D&WR_Number=30013537&Extension=&WR_Type=PROVISIONAL PERMIT,
195,76D 30027767,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76D&WR_Number=30027767&Extension=&WR_Type=PROVISIONAL PERMIT,
196,76D 30042454,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76D&WR_Number=30042454&Extension=&WR_Type=PROVISIONAL PERMIT,
197,76D 30045578,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76D&WR_Number=30045578&Extension=&WR_Type=PROVISIONAL PERMIT,
198,76D 30047359,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76D&WR_Number=30047359&Extension=&WR_Type=PROVISIONAL PERMIT,
199,76D 30048433,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76D&WR_Number=30048433&Extension=&WR_Type=PROVISIONAL PERMIT,
200,76D 30050659,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76D&WR_Number=30050659&Extension=&WR_Type=PROVISIONAL PERMIT,
201,76D 30071039,PROVISIONAL PERMIT,DENY,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76D&WR_Number=30071039&Extension=&WR_Type=PROVISIONAL PERMIT,
202,76D 30151686,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76D&WR_Number=30151686&Extension=&WR_Type=PROVISIONAL PERMIT,
203,76H 110817 00,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76H&WR_Number=110817&Extension= 00&WR_Type=PROVISIONAL PERMIT,
204,76H 30001085,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76H&WR_Number=30001085&Extension=&WR_Type=PROVISIONAL PERMIT,
205,76H 30003846,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76H&WR_Number=30003846&Extension=&WR_Type=PROVISIONAL PERMIT,
206,76H 30006845,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76H&WR_Number=30006845&Extension=&WR_Type=PROVISIONAL PERMIT,
207,76H 30008406,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76H&WR_Number=30008406&Extension=&WR_Type=PROVISIONAL PERMIT,
208,76H 30009727,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76H&WR_Number=30009727&Extension=&WR_Type=PROVISIONAL PERMIT,
209,76H 30025195,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76H&WR_Number=30025195&Extension=&WR_Type=PROVISIONAL PERMIT,
210,76H 30026290,PROVISIONAL PERMIT,DENY,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76H&WR_Number=30026290&Extension=&WR_Type=PROVISIONAL PERMIT,
211,76H 30026378,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76H&WR_Number=30026378&Extension=&WR_Type=PROVISIONAL PERMIT,
212,76H 30027258,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76H&WR_Number=30027258&Extension=&WR_Type=PROVISIONAL PERMIT,
213,76H 30027606,PROVISIONAL PERMIT,ACTV,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76H&WR_Number=30027606&Extension=&WR_Type=PROVISIONAL PERMIT,
214,76H 30030100,PROVISIONAL PERMIT,TERM,1,ORIG,https://dataportal.mt.gov/t/DOASITSDIBMDBA/views/DNRC_P/DNRCDash?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:embed=yes&:linktarget=_parent&Basin=76H&WR_Number=30030100&Extension=&WR_Type=PROVISIONAL PERMIT,
